signal,lag_1,lag_2,signal_squared,rolling_mean_5,rolling_std_5,ewma_span10,fourier_sin,fourier_cos,time_squared
0.0,-3.91886975727153e-15,-0.010054059555124728,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0012567624068768565,0.0,-3.91886975727153e-15,1.5794517473389094e-06,0.0,0.0,0.0002285022557957921,0.0006283813275007378,0.9999998025684341,1.5794525788955508e-06
0.00251352282875735,0.0012567624068768565,0.0,6.31779701068435e-06,0.0,0.0,0.0006439605417888026,0.0012567624068768567,0.9999992102738144,6.317810315582203e-06
0.0037702792806482517,0.00251352282875735,0.0012567624068768565,1.4215005854085498e-05,0.0,0.0,0.0012123821306723387,0.0018851429900038357,0.999998223116375,1.4215073210059956e-05
0.005027029777562604,0.0037702792806482517,0.00251352282875735,2.5271028384501125e-05,0.0025135188587690127,0.0019871083091814908,0.0019059544301069323,0.0025135228287573503,0.9999968410965053,2.5271241262328813e-05
0.0062837723345228556,0.005027029777562604,0.0037702792806482517,3.948579475211482e-05,0.003770273325673584,0.0019871004628161095,0.0027019213218189182,0.003141901675013368,0.9999950642147513,3.948631447238877e-05
0.007540504966563994,0.0062837723345228556,0.005027029777562604,5.6859215150776256e-05,0.0050270218376110105,0.0019870894779219256,0.003581663802681659,0.0037702792806482517,0.9999928924718144,5.6860292840239824e-05
0.008797225688736685,0.007540504966563994,0.0062837723345228556,7.739117981856864e-05,0.006283762409606877,0.0019870753545162888,0.00452994778196439,0.00439865539753885,0.9999903258685524,7.739317636588199e-05
0.010053932516110402,0.008797225688736685,0.007540504966563994,0.00010108155903850204,0.007540493056699309,0.001987058092621507,0.00553430864271821,0.005027029777562605,0.9999873644059787,0.00010108496504931525
0.011310623463776572,0.010053932516110402,0.008797225688736685,0.00012793020313933313,0.008797211793942102,0.0019870376922648454,0.006584547701092457,0.005655402172597636,0.9999840080852624,0.00012793565889053962
0.012567296546851691,0.011310623463776572,0.010053932516110402,0.00015793694249651043,0.010053916636407869,0.001987014153478524,0.0076723202185032275,0.0062837723345228556,0.9999802569077291,0.00015794525788955508
0.013823949780480483,0.012567296546851691,0.011310623463776572,0.0001911015875332464,0.011310605599191167,0.0019869874762997227,0.00879079832068091,0.006912140015218051,0.9999761108748598,0.00019111376204636164
0.015080581179839018,0.013823949780480483,0.012567296546851691,0.00022742392872171477,0.012567276697411634,0.0019869576607705755,0.009934395204164202,0.007540504966563994,0.9999715699882918,0.0002274411713609593
0.01633718876013785,0.015080581179839018,0.013823949780480483,0.0002669037365843745,0.013823927946217123,0.001986924706938175,0.011098539487068501,0.00816886694044253,0.999966634249818,0.000266927485833348
0.017593770536625163,0.01633718876013785,0.015080581179839018,0.00030954076169541965,0.01508055736078684,0.0019868886148545714,0.012279490586987895,0.008797225688736685,0.9999613036613874,0.00030957270546352796
0.018850324524589887,0.017593770536625163,0.01633718876013785,0.00035533473468235495,0.01633716295633448,0.0019868493845767703,0.013474187666551892,0.009425580963330753,0.9999555782251048,0.000355376830251499
0.020106848739364844,0.018850324524589887,0.017593770536625163,0.00040428536622769763,0.017593742748111353,0.001986807016166734,0.014680126043426974,0.010053932516110404,0.999949457943231,0.000404339860197261
0.021363341196329884,0.020106848739364844,0.018850324524589887,0.00045639234707080554,0.01885029475140953,0.0019867615096913795,0.015895256071227503,0.010682280098962773,0.9999429428181826,0.0004564617953008141
0.022619799910915023,0.021363341196329884,0.020106848739364844,0.0005116553480098313,0.02010681698156496,0.0019867128652225844,0.017117900405716143,0.011310623463776572,0.9999360328525324,0.0005117426355621585
0.023876222898603562,0.022619799910915023,0.021363341196329884,0.0005700740199038011,0.02136330745396064,0.00198666108283718,0.018346686313513855,0.011938962362442166,0.9999287280490086,0.000570182380981294
0.02513260817493523,0.023876222898603562,0.022619799910915023,0.0006316479936748212,0.022619764184029712,0.001986606162616954,0.01958049028831774,0.012567296546851691,0.9999210284104958,0.0006317810315582203
